종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"095570","AJ네트웍스","18521726","18521726","0","94.0","94.0","0.0"
"068400","AJ렌터카","32564489","32564489","0","375.0","375.0","0.0"
"006840","AK홀딩스","6710371","6710371","0","281.0","281.0","0.0"
"027410","BGF","48088894","48088894","0","347.0","347.0","0.0"
"282330","BGF리테일","6382079","6382079","0","1240.0","1240.0","0.0"
"138930","BNK금융지주","204810356","204810356","0","1451.0","1451.0","0.0"
"001460","BYC","314929","314929","0","77.0","77.0","0.0"
"001465","BYC우","351364","351364","0","50.0","50.0","0.0"
"001040","CJ","15742787","15742787","0","1573.0","1573.0","0.0"
"079160","CJ CGV","32553878","32553878","0","1278.0","1278.0","0.0"
"00104K","CJ4우(전환)","2224401","2224401","0","130.0","130.0","0.0"
"000120","CJ대한통운","14052648","14052648","0","2208.0","2208.0","0.0"
"011150","CJ씨푸드","583972214","583972214","0","1947.0","1947.0","0.0"
"011155","CJ씨푸드1우","8181826","8181826","0","333.0","333.0","0.0"
"001045","CJ우","2524408","2524408","0","145.0","145.0","0.0"
"097950","CJ제일제당","9297220","9297220","0","2567.0","2567.0","0.0"
"097955","CJ제일제당 우","970790","970790","0","113.0","113.0","0.0"
"037560","CJ헬로","98867707","98867707","0","784.0","784.0","0.0"
"000590","CS홀딩스","102906","102906","0","6.0","6.0","0.0"
"012030","DB","174967518","174967518","0","154.0","154.0","0.0"
"016610","DB금융투자","16058319","16058319","0","75.0","75.0","0.0"
"005830","DB손해보험","34672708","34672708","0","2043.0","2043.0","0.0"
"000990","DB하이텍","135585117","135585117","0","2155.0","2155.0","0.0"
"000995","DB하이텍1우","2663084","2663084","0","159.0","159.0","0.0"
"139130","DGB금융지주","209188919","209188919","0","1652.0","1652.0","0.0"
"001530","DI동일","1892136","1892136","0","150.0","150.0","0.0"
"004840","DRB동일","3923028","3923028","0","24.0","24.0","0.0"
"155660","DSR","67823772","67823772","0","370.0","370.0","0.0"
"069730","DSR제강","68675924","68675924","0","389.0","389.0","0.0"
"017940","E1","2853235","2853235","0","172.0","172.0","0.0"
"007700","F&F","31773275","31773275","0","2497.0","2497.0","0.0"
"114090","GKL","40646678","40646678","0","881.0","881.0","0.0"
"078930","GS","31756157","31756157","0","1614.0","1614.0","0.0"
"006360","GS건설","93663377","93663377","0","3565.0","3565.0","0.0"
"001250","GS글로벌","55553867","55553867","0","145.0","145.0","0.0"
"007070","GS리테일","36058791","36058791","0","1377.0","1377.0","0.0"
"078935","GS우","765622","765622","0","28.0","28.0","0.0"
"012630","HDC","91422372","91422372","0","1369.0","1369.0","0.0"
"039570","HDC아이콘트롤스","29292549","29292549","0","339.0","339.0","0.0"
"089470","HDC현대EP","35005248","35005248","0","180.0","180.0","0.0"
"294870","HDC현대산업개발","45394073","45394073","0","1679.0","1679.0","0.0"
"082740","HSD엔진","72992298","72992298","0","335.0","335.0","0.0"
"003560","IHQ","681964412","681964412","0","1447.0","1447.0","0.0"
"175330","JB금융지주","77412424","77412424","0","440.0","440.0","0.0"
"234080","JW생명과학","19572732","19572732","0","461.0","461.0","0.0"
"001060","JW중외제약","14113613","14113613","0","471.0","471.0","0.0"
"001067","JW중외제약2우B","544532","544532","0","25.0","25.0","0.0"
"001065","JW중외제약우","1132352","1132352","0","33.0","33.0","0.0"
"096760","JW홀딩스","40034669","40034669","0","268.0","268.0","0.0"
"105560","KB금융","276904757","276904757","0","12319.0","12319.0","0.0"
"002380","KCC","5488761","5488761","0","1474.0","1474.0","0.0"
"009070","KCTC","65839352","65839352","0","246.0","246.0","0.0"
"009440","KC그린홀딩스","24741236","24741236","0","119.0","119.0","0.0"
"119650","KC코트렐","135270686","135270686","0","1041.0","1041.0","0.0"
"092220","KEC","772063973","772063973","0","1036.0","1036.0","0.0"
"001390","KG케미칼","20084733","20084733","0","283.0","283.0","0.0"
"001940","KISCO홀딩스","3767904","3767904","0","49.0","49.0","0.0"
"025000","KPX케미칼","1092170","1092170","0","60.0","60.0","0.0"
"092230","KPX홀딩스","158617","158617","0","9.0","9.0","0.0"
"000040","KR모터스","143278903","143278903","0","60.0","60.0","0.0"
"044450","KSS해운","8815924","8815924","0","62.0","62.0","0.0"
"030200","KT","145316841","145316841","0","4032.0","4032.0","0.0"
"033780","KT&G","74525197","74525197","0","7466.0","7466.0","0.0"
"030210","KTB투자증권","38425105","38425105","0","111.0","111.0","0.0"
"058850","KTcs","62665348","62665348","0","147.0","147.0","0.0"
"058860","KTis","39929713","39929713","0","110.0","110.0","0.0"
"093050","LF","17978758","17978758","0","403.0","403.0","0.0"
"003550","LG","51664218","51664218","0","3789.0","3789.0","0.0"
"034220","LG디스플레이","446377541","446377541","0","7484.0","7484.0","0.0"
"001120","LG상사","35208218","35208218","0","595.0","595.0","0.0"
"051900","LG생활건강","7330530","7330530","0","9295.0","9295.0","0.0"
"051905","LG생활건강우","543105","543105","0","414.0","414.0","0.0"
"003555","LG우","1094072","1094072","0","51.0","51.0","0.0"
"032640","LG유플러스","404405173","404405173","0","5900.0","5900.0","0.0"
"011070","LG이노텍","41769336","41769336","0","4568.0","4568.0","0.0"
"066570","LG전자","158043037","158043037","0","11234.0","11234.0","0.0"
"066575","LG전자우","6641183","6641183","0","192.0","192.0","0.0"
"108670","LG하우시스","6159922","6159922","0","377.0","377.0","0.0"
"108675","LG하우시스우","294355","294355","0","9.0","9.0","0.0"
"051910","LG화학","45375409","45375409","0","15409.0","15409.0","0.0"
"051915","LG화학우","3465871","3465871","0","643.0","643.0","0.0"
"079550","LIG넥스원","25931520","25931520","0","907.0","907.0","0.0"
"006260","LS","21061479","21061479","0","1048.0","1048.0","0.0"
"000680","LS네트웍스","15542268","15542268","0","49.0","49.0","0.0"
"010120","LS산전","18411361","18411361","0","912.0","912.0","0.0"
"229640","LS전선아시아","31457109","31457109","0","246.0","246.0","0.0"
"023150","MH에탄올","2605894","2605894","0","17.0","17.0","0.0"
"035420","NAVER","112381067","112381067","0","15402.0","15402.0","0.0"
"181710","NHN","24358257","24358257","0","1757.0","1757.0","0.0"
"005940","NH투자증권","170885797","170885797","0","2256.0","2256.0","0.0"
"005945","NH투자증권우","14154618","14154618","0","127.0","127.0","0.0"
"338100","NH프라임리츠","20381782","20381782","0","129.0","129.0","0.0"
"034310","NICE","12414244","12414244","0","253.0","253.0","0.0"
"008260","NI스틸","29772694","29772694","0","77.0","77.0","0.0"
"004250","NPC","9933380","9933380","0","39.0","39.0","0.0"
"004255","NPC우","1057716","1057716","0","2.0","2.0","0.0"
"010060","OCI","32958681","32958681","0","2769.0","2769.0","0.0"
"005490","POSCO","57582051","57582051","0","13888.0","13888.0","0.0"
"100840","S&TC","9199844","9199844","0","132.0","132.0","0.0"
"064960","S&T모티브","15198980","15198980","0","667.0","667.0","0.0"
"003570","S&T중공업","4133901","4133901","0","29.0","29.0","0.0"
"036530","S&T홀딩스","2554658","2554658","0","36.0","36.0","0.0"
"010950","S-Oil","72449657","72449657","0","6813.0","6813.0","0.0"
"010955","S-Oil우","2695321","2695321","0","167.0","167.0","0.0"
"034120","SBS","21550299","21550299","0","459.0","459.0","0.0"
"101060","SBS미디어홀딩스","36179317","36179317","0","80.0","80.0","0.0"
"004060","SG세계물산","886939074","886939074","0","1028.0","1028.0","0.0"
"001380","SG충방","194867444","194867444","0","474.0","474.0","0.0"
"002360","SH에너지화학","766286443","766286443","0","964.0","964.0","0.0"
"009160","SIMPAC","71897010","71897010","0","228.0","228.0","0.0"
"123700","SJM","4212974","4212974","0","14.0","14.0","0.0"
"025530","SJM홀딩스","1718682","1718682","0","6.0","6.0","0.0"
"034730","SK","30795425","30795425","0","7551.0","7551.0","0.0"
"011790","SKC","45390991","45390991","0","1862.0","1862.0","0.0"
"018670","SK가스","3946733","3946733","0","330.0","330.0","0.0"
"001740","SK네트웍스","298566217","298566217","0","1713.0","1713.0","0.0"
"001745","SK네트웍스우","3426826","3426826","0","379.0","379.0","0.0"
"006120","SK디스커버리","18359579","18359579","0","512.0","512.0","0.0"
"006125","SK디스커버리우","16247090","16247090","0","316.0","316.0","0.0"
"210980","SK디앤디","3263799","3263799","0","94.0","94.0","0.0"
"03473K","SK우","4030267","4030267","0","768.0","768.0","0.0"
"096770","SK이노베이션","54881585","54881585","0","9299.0","9299.0","0.0"
"096775","SK이노베이션우","1204859","1204859","0","144.0","144.0","0.0"
"001510","SK증권","391238604","391238604","0","268.0","268.0","0.0"
"001515","SK증권우","37884195","37884195","0","136.0","136.0","0.0"
