투자자구분,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"금융투자","8.579559E7","7.9565083E7","-6230508.0","109849.0","107593.0","-2257.0"
"보험","903241.0","966641.0","63399.0","35430.0","38022.0","2592.0"
"투신","1802571.0","1871663.0","69092.0","78751.0","75319.0","-3432.0"
"사모","376623.0","353257.0","-23367.0","15948.0","15693.0","-255.0"
"은행","363947.0","311388.0","-52560.0","11130.0","8730.0","-2399.0"
"기타금융","148022.0","53011.0","-95011.0","2534.0","1881.0","-653.0"
"연기금 등","1226866.0","1410438.0","183571.0","52239.0","62919.0","10680.0"
"기관합계","9.0616862E7","8.453148E7","-6085382.0","305881.0","310156.0","4276.0"
"기타법인","2882750.0","2700673.0","-182077.0","15117.0","12574.0","-2543.0"
"개인","2.15345685E8","2.19240938E8","3895253.0","545178.0","540597.0","-4582.0"
"외국인","6.4234441E7","6.6569227E7","2334786.0","342794.0","345845.0","3051.0"
"기타외국인","907967.0","945387.0","37421.0","2023.0","1821.0","-202.0"
"전체","3.73987706E8","3.73987706E8","0.0","1210993.0","1210993.0","0.0"
